Product_Collection,Lithography,nb_of_Cores,Processor_Base_Frequency,TDP
Intel® Celeron® Processor 1000 Series,22 nm,2,2.20 GHz,35 W
Intel® Celeron® Processor 1000 Series,22 nm,2,2.10 GHz,35 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.80 GHz,17 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.40 GHz,17 W
Legacy Intel® Celeron® Processor,65 nm,1,3.46 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,1,3.33 GHz,86 W
Legacy Intel® Celeron® Processor,90 nm,1,3.33 GHz,84 W
Legacy Intel® Celeron® Processor,65 nm,1,3.20 GHz,86 W
Legacy Intel® Celeron® Processor,90 nm,1,3.20 GHz,84 W
Legacy Intel® Celeron® Processor,90 nm,1,3.20 GHz,73 W
Legacy Intel® Celeron® Processor,90 nm,1,3.20 GHz,73 W
Legacy Intel® Celeron® Processor,65 nm,1,3.06 GHz,86 W
Legacy Intel® Celeron® Processor,90 nm,1,3.06 GHz,84 W
Legacy Intel® Celeron® Processor,90 nm,1,3.06 GHz,84 W
Legacy Intel® Celeron® Processor,90 nm,1,3.06 GHz,73 W
Legacy Intel® Celeron® Processor,90 nm,1,2.93 GHz,84 W
Legacy Intel® Celeron® Processor,90 nm,1,2.93 GHz,84 W
Legacy Intel® Celeron® Processor,90 nm,1,2.93 GHz,73 W
Legacy Intel® Celeron® Processor,90 nm,1,2.80 GHz,84 W
Legacy Intel® Celeron® Processor,130 nm,1,650 MHz,8.3 W
Legacy Intel® Celeron® Processor,90 nm,1,2.80 GHz,84 W
Legacy Intel® Celeron® Processor,180 nm,1,766 MHz,20 W
Legacy Intel® Celeron® Processor,130 nm,1,2.80 GHz,68.4 W
Legacy Intel® Celeron® Processor,90 nm,1,2.80 GHz,73 W
Legacy Intel® Celeron® Processor,180 nm,1,933 MHz,20.6 W
Legacy Intel® Celeron® Processor,180 nm,1,733 MHz,23.6 W
Legacy Intel® Celeron® Processor,130 nm,1,2.70 GHz,66.8 W
Legacy Intel® Celeron® Processor,90 nm,1,1.00 GHz,5.5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.80 GHz,73 W
Legacy Intel® Celeron® Processor,180 nm,1,400 MHz,6.5 W
Legacy Intel® Celeron® Processor,180 nm,1,950 MHz,28 W
Legacy Intel® Celeron® Processor,180 nm,1,700 MHz,18.3 W
Legacy Intel® Celeron® Processor,130 nm,1,2.60 GHz,62.6 W
Legacy Intel® Celeron® Processor,90 nm,1,1.00 GHz,5.5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.66 GHz,84 W
Legacy Intel® Celeron® Processor,32 nm,1,1.50 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,1.50 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,2.40 GHz,65 W
Legacy Intel® Celeron® Processor,180 nm,1,900 MHz,24 W
Legacy Intel® Celeron® Processor,180 nm,1,866 MHz,23.3 W
Legacy Intel® Celeron® Processor,130 nm,1,900 MHz,34.8 W
Legacy Intel® Celeron® Processor,180 nm,1,667 MHz,17.5 W
Legacy Intel® Celeron® Processor,130 nm,1,2.50 GHz,61 W
Legacy Intel® Celeron® Processor,90 nm,1,900 MHz,5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.66 GHz,84 W
Legacy Intel® Celeron® Processor,32 nm,1,1.00 GHz,10 W
Legacy Intel® Celeron® Processor,32 nm,2,1.60 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,2.00 GHz,35 W
Legacy Intel® Celeron® Processor,180 nm,1,850 MHz,18.8 W
Legacy Intel® Celeron® Processor,130 nm,1,2.50 GHz,61 W
Legacy Intel® Celeron® Processor,180 nm,1,900 MHz,26.7 W
Legacy Intel® Celeron® Processor,180 nm,1,633 MHz,16.5 W
Legacy Intel® Celeron® Processor,130 nm,1,2.40 GHz,59.8 W
Legacy Intel® Celeron® Processor,130 nm,1,900 MHz,7 W
Legacy Intel® Celeron® Processor,90 nm,1,2.66 GHz,73 W
Legacy Intel® Celeron® Processor,32 nm,1,1.40 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,1.60 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,2.50 GHz,65 W
Legacy Intel® Celeron® Processor,180 nm,1,800 MHz,22 W
Legacy Intel® Celeron® Processor,180 nm,1,800 MHz,17.6 W
Legacy Intel® Celeron® Processor,130 nm,1,2.40 GHz,35 W
Legacy Intel® Celeron® Processor,180 nm,1,850 MHz,25.7 W
Legacy Intel® Celeron® Processor,180 nm,1,600 MHz,15.8 W
Legacy Intel® Celeron® Processor,130 nm,1,2.30 GHz,58.3 W
Legacy Intel® Celeron® Processor,90 nm,1,1.70 GHz,21 W
Legacy Intel® Celeron® Processor,90 nm,1,2.66 GHz,73 W
Legacy Intel® Celeron® Processor,32 nm,2,1.60 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,1.10 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,2.10 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,1,1.00 GHz,10 W
Legacy Intel® Celeron® Processor,130 nm,1,600 MHz,7 W
Legacy Intel® Celeron® Processor,180 nm,1,750 MHz,15.8 W
Legacy Intel® Celeron® Processor,130 nm,1,2.20 GHz,35 W
Legacy Intel® Celeron® Processor,180 nm,1,800 MHz,20.8 W
Legacy Intel® Celeron® Processor,180 nm,1,566 MHz,19.2 W
Legacy Intel® Celeron® Processor,130 nm,1,2.20 GHz,57.1 W
Legacy Intel® Celeron® Processor,90 nm,1,1.60 GHz,21 W
Legacy Intel® Celeron® Processor,90 nm,1,2.53 GHz,84 W
Legacy Intel® Celeron® Processor,32 nm,2,1.70 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,1.10 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,2.60 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,1,1.73 GHz,27 W
Legacy Intel® Celeron® Processor,65 nm,1,1.20 GHz,5.5 W
Legacy Intel® Celeron® Processor,180 nm,1,733 MHz,20.6 W
Legacy Intel® Celeron® Processor,180 nm,1,700 MHz,15 W
Legacy Intel® Celeron® Processor,130 nm,1,2.00 GHz,32 W
Legacy Intel® Celeron® Processor,250 nm,1,533 MHz,28.3 W
Legacy Intel® Celeron® Processor,130 nm,1,2.10 GHz,55.5 W
Legacy Intel® Celeron® Processor,130 nm,1,1.40 GHz,34.8 W
Legacy Intel® Celeron® Processor,130 nm,1,800 MHz,7 W
Legacy Intel® Celeron® Processor,90 nm,1,1.50 GHz,21 W
Legacy Intel® Celeron® Processor,90 nm,1,2.53 GHz,84 W
Legacy Intel® Celeron® Processor,32 nm,2,1.80 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,1.20 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,2.20 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,1,2.20 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,1,930 MHz,5.5 W
Legacy Intel® Celeron® Processor,65 nm,1,1.86 GHz,30 W
Legacy Intel® Celeron® Processor,180 nm,1,650 MHz,14 W
Legacy Intel® Celeron® Processor,130 nm,1,1.80 GHz,66.1 W
Legacy Intel® Celeron® Processor,130 nm,1,1.33 GHz,19 W
Legacy Intel® Celeron® Processor,250 nm,1,500 MHz,27 W
Legacy Intel® Celeron® Processor,130 nm,1,2.00 GHz,52.8 W
Legacy Intel® Celeron® Processor,130 nm,1,1.30 GHz,33.4 W
Legacy Intel® Celeron® Processor,65 nm,1,1.06 GHz,5.5 W
Legacy Intel® Celeron® Processor,90 nm,1,1.40 GHz,21 W
Legacy Intel® Celeron® Processor,90 nm,1,2.53 GHz,84 W
Legacy Intel® Celeron® Processor,32 nm,2,2.70 GHz,65 W
Legacy Intel® Celeron® Processor,32 nm,2,1.30 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,1.90 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,1,1.60 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,1,1.60 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,2,2.70 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,2,1.83 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,1,2.00 GHz,31 W
Legacy Intel® Celeron® Processor,180 nm,1,600 MHz,13 W
Legacy Intel® Celeron® Processor,130 nm,1,1.70 GHz,30 W
Legacy Intel® Celeron® Processor,250 nm,1,433 MHz,24.1 W
Legacy Intel® Celeron® Processor,130 nm,1,1.20 GHz,32.1 W
Legacy Intel® Celeron® Processor,65 nm,1,2.00 GHz,27 W
Legacy Intel® Celeron® Processor,90 nm,1,1.30 GHz,21 W
Legacy Intel® Celeron® Processor,90 nm,1,2.53 GHz,73 W
Legacy Intel® Celeron® Processor,32 nm,2,1.40 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,1,1.70 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,1,1.80 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,2,2.60 GHz,65 W
Legacy Intel® Celeron® Processor,45 nm,2,2.10 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,2,1.66 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,2,1.60 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,1,2.13 GHz,31 W
Legacy Intel® Celeron® Processor,65 nm,1,1.33 GHz,27 W
Legacy Intel® Celeron® Processor,130 nm,1,1.60 GHz,30 W
Legacy Intel® Celeron® Processor,250 nm,1,400 MHz,23.7 W
Legacy Intel® Celeron® Processor,130 nm,1,1.20 GHz,24.4 W
Legacy Intel® Celeron® Processor,130 nm,1,1.80 GHz,66.1 W
Legacy Intel® Celeron® Processor,130 nm,1,1.10 GHz,28.9 W
Legacy Intel® Celeron® Processor,65 nm,1,1.86 GHz,27 W
Legacy Intel® Celeron® Processor,130 nm,1,1.50 GHz,24.5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.40 GHz,73 W
Legacy Intel® Celeron® Processor,32 nm,1,1.90 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,1.50 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,2,2.00 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,1.20 GHz,18 W
Legacy Intel® Celeron® Processor,45 nm,2,2.00 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,2,2.50 GHz,65 W
Legacy Intel® Celeron® Processor,45 nm,1,2.20 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,1,1.30 GHz,10 W
Legacy Intel® Celeron® Processor,65 nm,1,2.26 GHz,31 W
Legacy Intel® Celeron® Processor,65 nm,2,2.00 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,1,2.00 GHz,35 W
Legacy Intel® Celeron® Processor,130 nm,1,1.50 GHz,30 W
Legacy Intel® Celeron® Processor,250 nm,1,366 MHz,21.7 W
Legacy Intel® Celeron® Processor,130 nm,1,1.13 GHz,23.8 W
Legacy Intel® Celeron® Processor,130 nm,1,1.70 GHz,63.5 W
Legacy Intel® Celeron® Processor,65 nm,1,1.73 GHz,27 W
Legacy Intel® Celeron® Processor,180 nm,1,1.10 GHz,33 W
Legacy Intel® Celeron® Processor,130 nm,1,1.40 GHz,24.5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.26 GHz,73 W
Legacy Intel® Celeron® Processor,32 nm,1,2.00 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,1,1.30 GHz,17 W
Legacy Intel® Celeron® Processor,45 nm,1,2.30 GHz,35 W
Legacy Intel® Celeron® Processor,32 nm,2,1.06 GHz,18 W
Legacy Intel® Celeron® Processor,90 nm,1,2.40 GHz,84 W
Legacy Intel® Celeron® Processor,32 nm,2,1.86 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,2,2.40 GHz,65 W
Legacy Intel® Celeron® Processor,45 nm,1,1.20 GHz,10 W
Legacy Intel® Celeron® Processor,65 nm,1,2.00 GHz,31 W
Legacy Intel® Celeron® Processor,65 nm,2,2.20 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,1,1.80 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,1,1.73 GHz,30 W
Legacy Intel® Celeron® Processor,65 nm,1,1.83 GHz,27 W
Legacy Intel® Celeron® Processor,180 nm,1,450 MHz,15.5 W
Legacy Intel® Celeron® Processor,130 nm,1,1.40 GHz,30 W
Legacy Intel® Celeron® Processor,130 nm,1,1.06 GHz,23.2 W
Legacy Intel® Celeron® Processor,250 nm,1,333 MHz,19.7 W
Legacy Intel® Celeron® Processor,130 nm,1,1.00 GHz,27.8 W
Legacy Intel® Celeron® Processor,65 nm,1,1.60 GHz,27 W
Legacy Intel® Celeron® Processor,130 nm,1,1.30 GHz,24.5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.26 GHz,73 W
Legacy Intel® Celeron® Processor,22 nm,1,1.50 GHz,17 W
Legacy Intel® Celeron® Processor,32 nm,1,1.40 GHz,17 W
Legacy Intel® Celeron® Processor,45 nm,1,1.40 GHz,10 W
Legacy Intel® Celeron® Processor,32 nm,2,1.06 GHz,18 W
Legacy Intel® Celeron® Processor,45 nm,1,1.33 GHz,30 W
Legacy Intel® Celeron® Processor,32 nm,2,1.86 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,2,1.20 GHz,10 W
Legacy Intel® Celeron® Processor,45 nm,2,1.90 GHz,35 W
Legacy Intel® Celeron® Processor,45 nm,1,1.20 GHz,5.5 W
Legacy Intel® Celeron® Processor,65 nm,1,2.16 GHz,31 W
Legacy Intel® Celeron® Processor,65 nm,2,2.40 GHz,65 W
Legacy Intel® Celeron® Processor,65 nm,1,1.20 GHz,19 W
Legacy Intel® Celeron® Processor,65 nm,1,1.66 GHz,27 W
Legacy Intel® Celeron® Processor,65 nm,1,1.60 GHz,35 W
Legacy Intel® Celeron® Processor,65 nm,1,1.60 GHz,30 W
Legacy Intel® Celeron® Processor,130 nm,1,1.20 GHz,20.8 W
Legacy Intel® Celeron® Processor,130 nm,1,1.00 GHz,22 W
Legacy Intel® Celeron® Processor,250 nm,1,300 MHz,17.8 W
Legacy Intel® Celeron® Processor,180 nm,1,1.00 GHz,29 W
Legacy Intel® Celeron® Processor,65 nm,1,1.46 GHz,27 W
Legacy Intel® Celeron® Processor,130 nm,1,1.20 GHz,24.5 W
Legacy Intel® Celeron® Processor,90 nm,1,2.13 GHz,73 W
Intel® Xeon® Scalable Processors,14 nm,8,1.70 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,8,1.80 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,8,2.00 GHz,70 W
Intel® Xeon® Scalable Processors,14 nm,8,2.10 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,4,2.60 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,10,2.20 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,10,2.20 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,12,2.10 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,12,2.10 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,10,2.40 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,12,2.30 GHz,105 W
Intel® Xeon® Scalable Processors,14 nm,14,1.90 GHz,85 W
Intel® Xeon® Scalable Processors,14 nm,14,2.20 GHz,105 W
Intel® Xeon® Scalable Processors,14 nm,4,3.60 GHz,105 W
Intel® Xeon® Scalable Processors,14 nm,14,2.20 GHz,105 W
Intel® Xeon® Scalable Processors,14 nm,12,2.60 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,12,2.60 GHz,135 W
Intel® Xeon® Scalable Processors,14 nm,12,2.60 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,6,3.40 GHz,115 W
Intel® Xeon® Scalable Processors,14 nm,16,2.10 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,16,2.10 GHz,135 W
Intel® Xeon® Scalable Processors,14 nm,16,2.10 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,14,2.60 GHz,140 W
Intel® Xeon® Scalable Processors,14 nm,8,3.20 GHz,130 W
Intel® Xeon® Scalable Processors,14 nm,8,3.20 GHz,130 W
Intel® Xeon® Scalable Processors,14 nm,12,3.00 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,20,2.00 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,20,2.00 GHz,135 W
Intel® Xeon® Scalable Processors,14 nm,20,2.00 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,18,2.30 GHz,140 W
Intel® Xeon® Scalable Processors,14 nm,18,2.30 GHz,140 W
Intel® Xeon® Scalable Processors,14 nm,16,2.60 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,16,2.60 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,8,3.50 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,16,2.60 GHz,160 W
Intel® Xeon® Scalable Processors,14 nm,12,3.20 GHz,165 W
Intel® Xeon® Scalable Processors,14 nm,20,2.40 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,20,2.40 GHz,160 W
Intel® Xeon® Scalable Processors,14 nm,18,2.70 GHz,165 W
Intel® Xeon® Scalable Processors,14 nm,22,2.10 GHz,140 W
Intel® Xeon® Scalable Processors,14 nm,18,3.00 GHz,200 W
Intel® Xeon® Scalable Processors,14 nm,16,2.00 GHz,125 W
Intel® Xeon® Scalable Processors,14 nm,4,3.60 GHz,105 W
Intel® Xeon® Scalable Processors,14 nm,12,3.00 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,24,2.10 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,24,2.10 GHz,160 W
Intel® Xeon® Scalable Processors,14 nm,24,2.10 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,24,2.10 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,26,2.00 GHz,150 W
Intel® Xeon® Scalable Processors,14 nm,24,2.70 GHz,205 W
Intel® Xeon® Scalable Processors,14 nm,26,2.10 GHz,165 W
Intel® Xeon® Scalable Processors,14 nm,26,2.10 GHz,165 W
Intel® Xeon® Scalable Processors,14 nm,28,2.10 GHz,165 W
Intel® Xeon® Scalable Processors,14 nm,28,2.10 GHz,173 W
Intel® Xeon® Scalable Processors,14 nm,28,2.10 GHz,165 W
Intel® Xeon® Scalable Processors,14 nm,28,2.50 GHz,205 W
Intel® Xeon® Scalable Processors,14 nm,28,2.50 GHz,205 W
Intel® Xeon® Processor E7 v4 Family,14 nm,14,2.00 GHz,115 W
Intel® Xeon® Processor E7 v4 Family,14 nm,10,2.00 GHz,115 W
Intel® Xeon® Processor E7 v4 Family,14 nm,16,2.10 GHz,115 W
Intel® Xeon® Processor E7 v4 Family,14 nm,18,2.20 GHz,140 W
Intel® Xeon® Processor E7 v4 Family,14 nm,18,2.40 GHz,165 W
Intel® Xeon® Processor E7 v4 Family,14 nm,20,2.10 GHz,140 W
Intel® Xeon® Processor E7 v4 Family,14 nm,22,2.20 GHz,150 W
Intel® Xeon® Processor E7 v4 Family,14 nm,24,2.20 GHz,165 W
Intel® Xeon® Processor E7 v4 Family,14 nm,10,2.80 GHz,165 W
Intel® Xeon® Processor E7 v4 Family,14 nm,4,3.20 GHz,140 W
Intel® Xeon® Processor E7 v4 Family,14 nm,24,2.40 GHz,165 W
Intel® Xeon® Processor E7 v3 Family,22 nm,12,2.10 GHz,115 W
Intel® Xeon® Processor E7 v3 Family,22 nm,10,1.90 GHz,115 W
Intel® Xeon® Processor E7 v3 Family,22 nm,14,2.20 GHz,115 W
Intel® Xeon® Processor E7 v3 Family,22 nm,16,2.20 GHz,140 W
Intel® Xeon® Processor E7 v3 Family,22 nm,16,2.50 GHz,165 W
Intel® Xeon® Processor E7 v3 Family,22 nm,18,2.10 GHz,140 W
Intel® Xeon® Processor E7 v3 Family,22 nm,18,2.30 GHz,150 W
Intel® Xeon® Processor E7 v3 Family,22 nm,18,2.00 GHz,115 W
Intel® Xeon® Processor E7 v3 Family,22 nm,18,2.50 GHz,165 W
Intel® Xeon® Processor E7 v3 Family,22 nm,10,2.80 GHz,165 W
Intel® Xeon® Processor E7 v3 Family,22 nm,4,3.20 GHz,140 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.30 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.50 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.80 GHz,155 W
Intel® Xeon® Processor E7 v2 Family,22 nm,6,1.90 GHz,105 W
Intel® Xeon® Processor E7 v2 Family,22 nm,8,2.00 GHz,105 W
Intel® Xeon® Processor E7 v2 Family,22 nm,10,2.20 GHz,105 W
Intel® Xeon® Processor E7 v2 Family,22 nm,12,2.30 GHz,105 W
Intel® Xeon® Processor E7 v2 Family,22 nm,12,2.60 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.30 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.50 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.80 GHz,155 W
Intel® Xeon® Processor E7 v2 Family,22 nm,6,3.40 GHz,155 W
Intel® Xeon® Processor E7 v2 Family,22 nm,10,3.20 GHz,155 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.80 GHz,155 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.20 GHz,105 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.50 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,15,2.30 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,12,3.00 GHz,130 W
Intel® Xeon® Processor E7 v2 Family,22 nm,12,2.30 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,8,2.00 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,8,2.13 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.00 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.26 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.40 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,6,1.86 GHz,95 W
Intel® Xeon® Processor E7 Family,32 nm,8,2.00 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,8,2.13 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.00 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.26 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.40 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,8,2.13 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,8,2.66 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.00 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.26 GHz,130 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.13 GHz,105 W
Intel® Xeon® Processor E7 Family,32 nm,10,2.40 GHz,130 W
5th Generation Intel® Core™ i7 Processors,14 nm,2,2.60 GHz,15 W
5th Generation Intel® Core™ i7 Processors,14 nm,2,2.20 GHz,15 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,3.30 GHz,65 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,3.30 GHz,65 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,2.70 GHz,47 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,2.60 GHz,47 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,2.50 GHz,47 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,2.70 GHz,47 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,2.70 GHz,47 W
5th Generation Intel® Core™ i7 Processors,14 nm,4,2.90 GHz,47 W
5th Generation Intel® Core™ i7 Processors,14 nm,2,2.40 GHz,15 W
6th Generation Intel® Core™ m Processors,14 nm,2,900 MHz,4.5 W
6th Generation Intel® Core™ i3 Processors,14 nm,2,3.60 GHz,54 W
6th Generation Intel® Core™ i5 Processors,14 nm,2,3.10 GHz,28 W
6th Generation Intel® Core™ i5 Processors,14 nm,2,2.90 GHz,28 W
7th Generation Intel® Core™ m Processors,14 nm,2,1.00 GHz,4.5 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,3.00 GHz,35 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,2.40 GHz,15 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,2.80 GHz,28 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,3.90 GHz,51 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,2.90 GHz,35 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,3.40 GHz,35 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,3.40 GHz,35 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,3.90 GHz,54 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,2.10 GHz,25 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,2.70 GHz,15 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,3.50 GHz,35 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,4.00 GHz,51 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,4.10 GHz,51 W
7th Generation Intel® Core™ i3 Processors,14 nm,2,4.20 GHz,60 W
7th Generation Intel® Core™ m Processors,14 nm,2,1.10 GHz,4.5 W
6th Generation Intel® Core™ i7 Processors,14 nm,2,2.50 GHz,15 W
6th Generation Intel® Core™ i7 Processors,14 nm,2,2.20 GHz,15 W
6th Generation Intel® Core™ i7 Processors,14 nm,2,3.30 GHz,28 W
6th Generation Intel® Core™ i7 Processors,14 nm,2,2.60 GHz,15 W
6th Generation Intel® Core™ i7 Processors,14 nm,2,2.20 GHz,15 W
6th Generation Intel® Core™ i7 Processors,14 nm,2,2.40 GHz,15 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.60 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.60 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,3.40 GHz,65 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.40 GHz,35 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.80 GHz,35 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,4.00 GHz,91 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,3.30 GHz,65 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.80 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.70 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.70 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.00 GHz,25 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.70 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.90 GHz,45 W
6th Generation Intel® Core™ i7 Processors,14 nm,4,2.80 GHz,45 W
6th Generation Intel® Core™ i5 Processors,14 nm,2,1.80 GHz,15 W
6th Generation Intel® Core™ i5 Processors,14 nm,2,2.30 GHz,15 W
6th Generation Intel® Core™ i5 Processors,14 nm,2,2.40 GHz,15 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.30 GHz,45 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.30 GHz,45 W
6th Generation Intel® Core™ i5 Processors,14 nm,2,2.00 GHz,15 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,1.90 GHz,25 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.60 GHz,45 W
6th Generation Intel® Core™ i5 Processors,14 nm,4,2.70 GHz,45 W
